study_id,short_name,arm_label,node,n_randomized_or_analyzed,risk_mapping_v0.2,death_7d_n,death_followup_n,clinical_deterioration_n,primary_clinical_composite_n,major_bleeding_n,major_bleeding_definition,intracranial_hemorrhage_n,recurrent_pe_n,rv_lv_or_rv_recovery_locked,follow_up_locked,locked_status_v0.2,ready_death_nma,ready_clinical_deterioration_nma,ready_major_bleeding_nma,ready_ich_nma,source_note_v0.2
TOPCOAT_2014,TOPCOAT,Tenecteplase,ST,40.0,intermediate-risk; mixed low/intermediate-high features,,1.0,1.0,6.0,1.0,Author-defined major bleeding,1.0,,,5 days and 90 days,core locked; outcome harmonization needed,yes,sensitivity,yes,yes,Results: 1 tenecteplase patient died from ICH 5h after drug; 6/40 had 90-day adverse outcome; only major bleed during 5-day surveillance.
TOPCOAT_2014,TOPCOAT,Placebo + anticoagulation,AC,43.0,intermediate-risk; mixed low/intermediate-high features,,1.0,3.0,16.0,0.0,Author-defined major bleeding,0.0,,,5 days and 90 days,core locked; outcome harmonization needed,yes,sensitivity,yes,yes,"Results: 3 early adverse outcomes in placebo, including 1 PE-attributed death and 2 shock/intubation/thrombectomy; total 16/43 adverse outcome by 90 days."
ULTIMA_2014,ULTIMA,USAT/USCDT + UFH,USCDT,30.0,intermediate-risk by RV/LV >=1; biomarker not required,,0.0,0.0,,0.0,Author-defined major bleeding,0.0,0.0,1.28+/-0.19 to 0.99+/-0.17 at 24h; change 0.30+/-0.20,90 days,core locked,yes,yes,yes,yes,"Abstract/results: safety outcomes at 90 days: 0 deaths in USAT, no major bleeding, no recurrent VTE."
ULTIMA_2014,ULTIMA,UFH alone,AC,29.0,intermediate-risk by RV/LV >=1; biomarker not required,,1.0,0.0,,0.0,Author-defined major bleeding,0.0,0.0,1.20+/-0.14 to 1.17+/-0.20 at 24h; change 0.03+/-0.16,90 days,core locked,yes,yes,yes,yes,"Abstract/results: 1 death in heparin group, no major bleeding, no recurrent VTE."
PEITHO_2014,PEITHO,Tenecteplase + heparin,ST,506.0,intermediate-high PE: RV dysfunction + positive troponin,6.0,12.0,8.0,13.0,58.0,ISTH major bleeding,10.0,,,7 and 30 days,core locked,yes,yes,yes,yes,"Table 3: primary 13, death 6, hemodynamic decompensation 8; Table 4/text: ISTH major bleeding 58, major extracranial 32, hemorrhagic stroke/ICH 10."
PEITHO_2014,PEITHO,Placebo + heparin,AC,499.0,intermediate-high PE: RV dysfunction + positive troponin,9.0,16.0,25.0,28.0,12.0,ISTH major bleeding,1.0,,,7 and 30 days,core locked,yes,yes,yes,yes,"Table 3: primary 28, death 9, hemodynamic decompensation 25; Table 4/text: ISTH major bleeding 12, major extracranial 6, hemorrhagic stroke/ICH 1."
SUNSET_sPE_2021,SUNSET sPE,USAT/EKOS,USCDT,40.0,submassive/intermediate PE planned for catheter lysis,,1.0,,,2.0,Author-defined major bleeding,1.0,,1.5+/-0.3 to 1.2+/-0.2; delta 0.35+/-0.34,48h and 90 days,partial locked; table assigns adverse events by group as extracted,sensitivity,no,sensitivity,sensitivity,"Safety table: major bleeding events 2, minor bleeding 3, in-hospital death 1; text reports one stroke and one vaginal bleed requiring transfusion."
SUNSET_sPE_2021,SUNSET sPE,Standard CDT,CDT,41.0,submassive/intermediate PE planned for catheter lysis,,0.0,,,0.0,Author-defined major bleeding,0.0,,1.7+/-0.4 to 1.1+/-0.2; delta 0.59+/-0.42,48h and 90 days,partial locked; table assigns adverse events by group as extracted,sensitivity,no,sensitivity,sensitivity,Safety table: comparator adverse events 0 in visible extraction; primary endpoint imaging only.
CANARY_2022,CANARY,cCDT + anticoagulation,CDT,48.0,intermediate-high PE,,0.0,,2.0,1.0,BARC type 3 or 5,,,72h RV/LV>0.9: 13/48; 3mo RV/LV>0.9: 2/46; unrecovered RV 3/46,72h and 3 months,core locked for death/bleeding/RV; ICH not separately reported,yes,sensitivity,yes,no,Table 2: 3mo all-cause mortality 0/48; composite mortality or primary outcome 2/48; BARC 3/5 1/48.
CANARY_2022,CANARY,Anticoagulation,AC,46.0,intermediate-high PE,,3.0,,8.0,0.0,BARC type 3 or 5,,,72h RV/LV>0.9: 24/46; 3mo RV/LV>0.9: 5/39; unrecovered RV 11/39,72h and 3 months,core locked for death/bleeding/RV; ICH not separately reported,yes,sensitivity,yes,no,Table 2: 3mo all-cause mortality 3/46; composite mortality or primary outcome 8/46; BARC 3/5 0.
PEERLESS_2025,PEERLESS,FlowTriever LBMT,LBAT,274.0,"intermediate-risk, mostly intermediate-high",0.0,1.0,5.0,,19.0,Author-defined major bleeding,2.0,,Mean RV/LV reduction 0.32+/-0.24 at 24h,discharge/7 days and 30 days,core locked; CDT comparator is mixed,yes,yes,yes,yes,"Text: mortality 0.0% vs 0.4%, ICH 0.7% vs 0.4%, major bleeding 6.9% both; 5 vs 15 clinical deterioration/bailout; 30d mortality 0.4%."
PEERLESS_2025,PEERLESS,CDT mixed,CDT,276.0,"intermediate-risk, mostly intermediate-high",1.0,2.0,15.0,,19.0,Author-defined major bleeding,1.0,,Mean RV/LV reduction 0.30+/-0.26 at 24h,discharge/7 days and 30 days,"core locked; CDT arm mixed: 59.8% USCDT, 23.2% side-hole CDT, 8.7% side-slit CDT",yes,yes,yes,yes,Text: CDT arm composition; clinical deterioration/bailout 15; major bleeding 19; 30d mortality 0.8%.
STORM_PE_2025,STORM-PE,CAVT/Penumbra + AC,CAT,47.0,intermediate-high PE,2.0,,1.0,2.0,1.0,BARC major bleeding,,0.0,Baseline 1.63+/-0.36; 48h RV/LV reduction 0.52+/-0.37,"48h, 7 days, 90 days planned",core locked; ICH not separately stated,yes,yes,yes,no,Text: MAE 2/47; clinical deterioration 1; two PE-related deaths; major bleeding 1; recurrent PE 0.
STORM_PE_2025,STORM-PE,AC alone,AC,53.0,intermediate-high PE,0.0,,3.0,4.0,1.0,BARC major bleeding,,0.0,Baseline 1.56+/-0.35; 48h RV/LV reduction 0.24+/-0.40,"48h, 7 days, 90 days planned",core locked; ICH not separately stated,yes,yes,yes,no,Text: MAE 4/53; clinical deterioration requiring rescue 3; major bleeding 1; recurrent PE 0.
STRATIFY_2026,STRATIFY,USAT low-dose alteplase,USCDT,71.0,intermediate-high PE by ESC criteria,2.0,2.0,1.0,,6.0,ISTH major bleeding; TIMI major also reported,,,RV/LV diameter ratio reduction 48-96h: 0.3 +/- 0.3,48-96h imaging and 3 months,core locked for STRATIFY v0.3; ICH arm-specific not reported,yes,yes,yes,no,STRATIFY Table 2/Figure 1: randomized n=71; deaths 2 by 3 months; full-dose thrombolysis for clinical deterioration 1; ISTH major bleeding 6; RV/LV reduction 0.3 SD 0.3 at 48-96h. Text confirms two fatal intracranial haemorrhages overall but does not provide complete arm-specific ICH counts.
STRATIFY_2026,STRATIFY,IV low-dose alteplase,ST,70.0,intermediate-high PE by ESC criteria; low-dose ST sensitivity,0.0,4.0,2.0,,6.0,ISTH major bleeding; TIMI major also reported,,,RV/LV diameter ratio reduction 48-96h: 0.4 +/- 0.4,48-96h imaging and 3 months,core locked for STRATIFY v0.3; ICH arm-specific not reported,yes,yes,yes,no,STRATIFY Table 2/Figure 1: randomized n=70; deaths 4 by 3 months; full-dose thrombolysis for clinical deterioration 2; ISTH major bleeding 6; RV/LV reduction 0.4 SD 0.4 at 48-96h. Low-dose IV alteplase should be flagged as ST low-dose/sensitivity.
STRATIFY_2026,STRATIFY,Heparin alone,AC,69.0,intermediate-high PE by ESC criteria,0.0,0.0,2.0,,1.0,ISTH major bleeding; TIMI major also reported,,,RV/LV diameter ratio reduction 48-96h: 0.3 +/- 0.3,48-96h imaging and 3 months,core locked for STRATIFY v0.3; ICH arm-specific not reported,yes,yes,yes,no,STRATIFY Table 2/Figure 1: randomized n=69; deaths 0 by 3 months; full-dose thrombolysis for clinical deterioration 2; ISTH major bleeding 1; RV/LV reduction 0.3 SD 0.3 at 48-96h.
PRETHA_2026,PRETHA,Penumbra Indigo CAT8 thrombectomy,CAT,13.0,intermediate-high PE,,0.0,,,0.0,WHO bleeding grade; sensitivity only,0.0,3.0,RV/LV 1.2 to 0.89 at 48h; mean decrease 0.3,"48h, 1/6/12 months",partial locked; clinical event definition differs,sensitivity,no,sensitivity,sensitivity,"Results: 13 per arm; thrombectomy had 1 non-significant hemoptysis WHO grade 2, no major/ICH; baseline table lists recurrent PE after current episode=3."
PRETHA_2026,PRETHA,Trans-catheter thrombolysis,CDT,13.0,intermediate-high PE,,1.0,,,1.0,WHO bleeding grade; sensitivity only,1.0,0.0,RV/LV 1.27 to 0.88 at 48h; mean decrease 0.4,"48h, 1/6/12 months",partial locked; bleeding definition WHO grade,sensitivity,no,sensitivity,sensitivity,Results: 3/13 groin hematomas; 1 WHO grade 3 transfusion; 1 patient died from brain hemorrhage WHO grade 4.
PRETHA_2026,PRETHA,Conservative treatment,AC,13.0,intermediate-high PE,,0.0,,,0.0,WHO bleeding grade; sensitivity only,0.0,2.0,RV/LV 1.23 to 1.12 at 48h,"48h, 1/6/12 months",partial locked; clinical event definition differs,sensitivity,no,sensitivity,sensitivity,Results: 1 pneumonia; no bleeding signal reported; baseline table lists recurrent PE after current episode=2.
HI_PEITHO_2026,HI-PEITHO,USCDT + AC,USCDT,273.0,acute intermediate-risk PE with cardiorespiratory distress,3.0,5.0,10.0,11.0,11.0,ISTH major bleeding,0.0,1.0,,7 and 30 days,core locked,yes,yes,yes,yes,"Table 2: primary 11, PE death 3, decompensation 10, recurrent PE 1; Table 3: ISTH major bleeding 11 by 30d, ICH 0; Table 4: all-cause death 5."
HI_PEITHO_2026,HI-PEITHO,AC alone,AC,271.0,acute intermediate-risk PE with cardiorespiratory distress,2.0,3.0,28.0,28.0,8.0,ISTH major bleeding,0.0,2.0,,7 and 30 days,core locked,yes,yes,yes,yes,"Table 2: primary 28, PE death 1, decompensation 28, recurrent PE 1; Table 3: ISTH major bleeding 8 by 30d, ICH 0; Table 4: all-cause death 3."
MAPPET3_2002,MAPPET-3,Heparin + alteplase,ST,118.0,"submassive PE; intermediate-risk by RV dysfunction/PH/ECG strain, biomarker not required",,4.0,12.0,13.0,1.0,Author-defined major bleeding,0.0,4.0,,in-hospital or day 30,core locked,yes,yes,yes,yes,"Table 2: primary 13, death 4, escalation 12, recurrent PE 4, major bleeding 1, hemorrhagic stroke 0."
MAPPET3_2002,MAPPET-3,Heparin + placebo,AC,138.0,"submassive PE; intermediate-risk by RV dysfunction/PH/ECG strain, biomarker not required",,3.0,34.0,34.0,5.0,Author-defined major bleeding,0.0,4.0,,in-hospital or day 30,core locked,yes,yes,yes,yes,"Table 2: primary 34, death 3, escalation 34, recurrent PE 4, major bleeding 5, hemorrhagic stroke 0."
HAIRE_1993,Haire 1993,Alteplase,ST,,pending OCR/manual verification,,,,,,Author-defined major bleeding,,,,,OCR_needed,no,no,no,no,Extracted text only shows ProQuest copyright/title page; outcome data not machine-readable.
HAIRE_1993,Haire 1993,Heparin,AC,,pending OCR/manual verification,,,,,,Author-defined major bleeding,,,,,OCR_needed,no,no,no,no,Needs rendered page review or OCR before inclusion.
CDT_PILOT_2022,EuroIntervention pilot CDT,CDT alteplase 20 mg,CDT,12.0,intermediate-high PE,,,,,0.0,No intracranial/life-threatening BARC type 5 or 3c bleeding,0.0,,,24/48/72h,partial locked; primary composite exact count pending,no,no,yes,yes,Abstract/results: no intracranial or life-threatening bleeding; one local BARC 2 access hematoma in CDT arm; exact clinical efficacy counts pending.
CDT_PILOT_2022,EuroIntervention pilot CDT,Standard anticoagulation,AC,11.0,intermediate-high PE,,,,,0.0,No intracranial/life-threatening BARC type 5 or 3c bleeding,0.0,,,24/48/72h,partial locked; primary composite exact count pending,no,no,yes,yes,Abstract/results: no intracranial or life-threatening bleeding; bleeding count not major/life-threatening.
FASULLO_2011,Fasullo 2011,Thrombolysis + heparin,ST,37.0,submassive PE with RVD; biomarker mixed/unclear,,0.0,0.0,,2.0,Author-defined major bleeding,0.0,0.0,RV function improved earlier; detailed echo table locked in source,10 days and 180 days,core locked,yes,yes,yes,yes,"Tables 4/6: in-hospital death 0, recurrent PE 0, major bleeding 2; total death 0; text: no intracranial bleeding in thrombolysis."
FASULLO_2011,Fasullo 2011,Heparin/placebo,AC,35.0,submassive PE with RVD; biomarker mixed/unclear,,5.0,2.0,,1.0,Author-defined major bleeding,0.0,4.0,,10 days and 180 days,core locked,yes,yes,yes,yes,"Table 4: death 5, recurrent fatal PE 3, irreversible RVD 2, major bleeding 1; Table 6 total death 6 and recurrent fatal PE 4 through 180d."
SINHA_2017,Sinha 2017,Tenecteplase + UFH,ST,45.0,submassive/intermediate-risk; RV dysfunction and/or biomarkers; all had myocardial injury,2.0,2.0,2.0,2.0,1.0,Author-defined major bleeding,1.0,2.0,Baseline RV/LV 1.14+/-0.11; RV function improvement 31/45,7 and 30 days,core locked,yes,yes,yes,yes,"Table 3: primary 2, death 2, hemodynamic decompensation 2, recurrent PE 2, major bleeding 1, hemorrhagic stroke 1."
SINHA_2017,Sinha 2017,Placebo + UFH,AC,41.0,submassive/intermediate-risk; RV dysfunction and/or biomarkers; all had myocardial injury,2.0,2.0,8.0,8.0,1.0,Author-defined major bleeding,0.0,1.0,Baseline RV/LV 1.16+/-0.14; RV function improvement 16/41,7 and 30 days,core locked,yes,yes,yes,yes,"Table 3: primary 8, death 2, hemodynamic decompensation 8, recurrent PE 1, major bleeding 1, hemorrhagic stroke 0."
ZHANG_2018,Zhang 2018,Low-dose rt-PA + LMWH,ST,33.0,acute intermediate-risk PE; low-dose ST sensitivity,,0.0,0.0,,0.0,Author-defined major bleeding,0.0,1.0,1.26+/-0.22 to 0.96+/-0.18 at 24h,90 days,core locked,yes,yes,yes,yes,Safety outcomes: at 90 days no deaths and no major bleeding among 66; no hemodynamic decompensation and 1 recurrent VTE in rt-PA group.
ZHANG_2018,Zhang 2018,LMWH,AC,33.0,acute intermediate-risk PE,,0.0,3.0,,0.0,Author-defined major bleeding,0.0,2.0,1.22+/-0.19 to 1.17+/-0.21 at 24h,90 days,core locked,yes,yes,yes,yes,Safety outcomes: 3 hemodynamic decompensation and 2 recurrent VTE in LMWH group; no deaths and no major bleeding among 66.
MOPETT_2013,MOPETT,Safe-dose tPA + AC,ST,61.0,"moderate PE; risk mapping pending, sensitivity-only unless maps to intermediate-risk",,1.0,,1.0,0.0,Author-defined major bleeding,0.0,0.0,PASP endpoint; PH 9/58 at 28 months,28+/-5 months,core locked; sensitivity-only risk stratum,sensitivity,sensitivity,sensitivity,sensitivity,"Table 3: recurrent PE 0, total mortality 1, mortality+recurrent PE 1, bleeding 0."
MOPETT_2013,MOPETT,AC alone,AC,60.0,"moderate PE; risk mapping pending, sensitivity-only unless maps to intermediate-risk",,3.0,,6.0,0.0,Author-defined major bleeding,0.0,3.0,PASP endpoint; PH 32/56 at 28 months,28+/-5 months,core locked; sensitivity-only risk stratum,sensitivity,sensitivity,sensitivity,sensitivity,"Table 3: recurrent PE 3, total mortality 3, mortality+recurrent PE 6, bleeding 0."
AHMED_2018,Ahmed 2018,Streptokinase + anticoagulation,ST,24.0,submassive PE causing RV dysfunction; biomarker criteria stated in discussion,,,,,0.0,Author-defined major bleeding,0.0,,PASP 51.54+/-6.95 to 39.08+/-3.83 at 72h; PH endpoint 12/24,72h; hospital stay,partial locked; mortality not reported as event count,no,no,yes,yes,Table 3: endpoint pulmonary hypertension 12/24; no bleeding detected in both groups; death count not explicitly reported.
AHMED_2018,Ahmed 2018,Anticoagulation,AC,28.0,submassive PE causing RV dysfunction; biomarker criteria stated in discussion,,,,,0.0,Author-defined major bleeding,0.0,,PASP 47.92+/-8.02 to 46.5+/-7.22 at 72h; PH endpoint 24/28,72h; hospital stay,partial locked; mortality not reported as event count,no,no,yes,yes,Table 3: endpoint pulmonary hypertension 24/28; no bleeding detected in both groups; death count not explicitly reported.
