studlab,treat1,treat2,TE,seTE,event1,n1,event2,n2,incr1,incr2,study_id,short_name,major_bleeding_definition,follow_up_locked,ready_death_nma,ready_clinical_deterioration_nma,ready_major_bleeding_nma,ready_ich_nma,studlab.orig,ready,arm_label1,arm_label2,node1,node2,n_randomized_or_analyzed1,n_randomized_or_analyzed2,risk_mapping_v0.21,risk_mapping_v0.22,death_7d_n1,death_7d_n2,death_followup_n1,death_followup_n2,clinical_deterioration_n1,clinical_deterioration_n2,primary_clinical_composite_n1,primary_clinical_composite_n2,major_bleeding_n1,major_bleeding_n2,intracranial_hemorrhage_n1,intracranial_hemorrhage_n2,recurrent_pe_n1,recurrent_pe_n2,rv_lv_or_rv_recovery_locked1,rv_lv_or_rv_recovery_locked2,locked_status_v0.21,locked_status_v0.22,source_note_v0.21,source_note_v0.22,event.orig1,event.orig2,n.orig1,n.orig2,treat.orig1,treat.orig2
TOPCOAT_2014,ST,AC,1.1950725548556718,1.6477170958966214,1,40,0,43,0.5,0.5,TOPCOAT_2014,TOPCOAT,Author-defined major bleeding,5 days and 90 days,yes,sensitivity,yes,yes,TOPCOAT_2014,TRUE,Tenecteplase,Placebo + anticoagulation,ST,AC,40,43,intermediate-risk; mixed low/intermediate-high features,intermediate-risk; mixed low/intermediate-high features,NA,NA,1,1,1,3,6,16,1,0,1,0,NA,NA,NA,NA,core locked; outcome harmonization needed,core locked; outcome harmonization needed,Results: 1 tenecteplase patient died from ICH 5h after drug; 6/40 had 90-day adverse outcome; only major bleed during 5-day surveillance.,"Results: 3 early adverse outcomes in placebo, including 1 PE-attributed death and 2 shock/intubation/thrombectomy; total 16/43 adverse outcome by 90 days.",1,0,40,43,ST,AC
ULTIMA_2014,USCDT,AC,NA,NA,0,30,0,29,0,0,ULTIMA_2014,ULTIMA,Author-defined major bleeding,90 days,yes,yes,yes,yes,ULTIMA_2014,TRUE,USAT/USCDT + UFH,UFH alone,USCDT,AC,30,29,intermediate-risk by RV/LV >=1; biomarker not required,intermediate-risk by RV/LV >=1; biomarker not required,NA,NA,0,1,0,0,NA,NA,0,0,0,0,0,0,1.28+/-0.19 to 0.99+/-0.17 at 24h; change 0.30+/-0.20,1.20+/-0.14 to 1.17+/-0.20 at 24h; change 0.03+/-0.16,core locked,core locked,"Abstract/results: safety outcomes at 90 days: 0 deaths in USAT, no major bleeding, no recurrent VTE.","Abstract/results: 1 death in heparin group, no major bleeding, no recurrent VTE.",0,0,30,29,USCDT,AC
PEITHO_2014,ST,AC,1.6590072514260237,0.3238213142941182,58,506,12,499,0,0,PEITHO_2014,PEITHO,ISTH major bleeding,7 and 30 days,yes,yes,yes,yes,PEITHO_2014,TRUE,Tenecteplase + heparin,Placebo + heparin,ST,AC,506,499,intermediate-high PE: RV dysfunction + positive troponin,intermediate-high PE: RV dysfunction + positive troponin,6,9,12,16,8,25,13,28,58,12,10,1,NA,NA,NA,NA,core locked,core locked,"Table 3: primary 13, death 6, hemodynamic decompensation 8; Table 4/text: ISTH major bleeding 58, major extracranial 32, hemorrhagic stroke/ICH 10.","Table 3: primary 28, death 9, hemodynamic decompensation 25; Table 4/text: ISTH major bleeding 12, major extracranial 6, hemorrhagic stroke/ICH 1.",58,12,506,499,ST,AC
CANARY_2022,CDT,AC,1.0773348902208246,1.6459722581470504,1,48,0,46,0.5,0.5,CANARY_2022,CANARY,BARC type 3 or 5,72h and 3 months,yes,sensitivity,yes,no,CANARY_2022,TRUE,cCDT + anticoagulation,Anticoagulation,CDT,AC,48,46,intermediate-high PE,intermediate-high PE,NA,NA,0,3,NA,NA,2,8,1,0,NA,NA,NA,NA,72h RV/LV>0.9: 13/48; 3mo RV/LV>0.9: 2/46; unrecovered RV 3/46,72h RV/LV>0.9: 24/46; 3mo RV/LV>0.9: 5/39; unrecovered RV 11/39,core locked for death/bleeding/RV; ICH not separately reported,core locked for death/bleeding/RV; ICH not separately reported,Table 2: 3mo all-cause mortality 0/48; composite mortality or primary outcome 2/48; BARC 3/5 1/48.,Table 2: 3mo all-cause mortality 3/46; composite mortality or primary outcome 8/46; BARC 3/5 0.,1,0,48,46,CDT,AC
PEERLESS_2025,LBAT,CDT,0.007812539736793625,0.33626741903705953,19,274,19,276,0,0,PEERLESS_2025,PEERLESS,Author-defined major bleeding,discharge/7 days and 30 days,yes,yes,yes,yes,PEERLESS_2025,TRUE,FlowTriever LBMT,CDT mixed,LBAT,CDT,274,276,"intermediate-risk, mostly intermediate-high","intermediate-risk, mostly intermediate-high",0,1,1,2,5,15,NA,NA,19,19,2,1,NA,NA,Mean RV/LV reduction 0.32+/-0.24 at 24h,Mean RV/LV reduction 0.30+/-0.26 at 24h,core locked; CDT comparator is mixed,"core locked; CDT arm mixed: 59.8% USCDT, 23.2% side-hole CDT, 8.7% side-slit CDT","Text: mortality 0.0% vs 0.4%, ICH 0.7% vs 0.4%, major bleeding 6.9% both; 5 vs 15 clinical deterioration/bailout; 30d mortality 0.4%.",Text: CDT arm composition; clinical deterioration/bailout 15; major bleeding 19; 30d mortality 0.8%.,19,19,274,276,LBAT,CDT
STORM_PE_2025,CAT,AC,0.12260232209233228,1.4286251781575012,1,47,1,53,0,0,STORM_PE_2025,STORM-PE,BARC major bleeding,"48h, 7 days, 90 days planned",yes,yes,yes,no,STORM_PE_2025,TRUE,CAVT/Penumbra + AC,AC alone,CAT,AC,47,53,intermediate-high PE,intermediate-high PE,2,0,NA,NA,1,3,2,4,1,1,NA,NA,0,0,Baseline 1.63+/-0.36; 48h RV/LV reduction 0.52+/-0.37,Baseline 1.56+/-0.35; 48h RV/LV reduction 0.24+/-0.40,core locked; ICH not separately stated,core locked; ICH not separately stated,Text: MAE 2/47; clinical deterioration 1; two PE-related deaths; major bleeding 1; recurrent PE 0.,Text: MAE 4/53; clinical deterioration requiring rescue 3; major bleeding 1; recurrent PE 0.,1,1,47,53,CAT,AC
HI_PEITHO_2026,USCDT,AC,0.32226325953520235,0.4727876544190235,11,273,8,271,0,0,HI_PEITHO_2026,HI-PEITHO,ISTH major bleeding,7 and 30 days,yes,yes,yes,yes,HI_PEITHO_2026,TRUE,USCDT + AC,AC alone,USCDT,AC,273,271,acute intermediate-risk PE with cardiorespiratory distress,acute intermediate-risk PE with cardiorespiratory distress,3,2,5,3,10,28,11,28,11,8,0,0,1,2,NA,NA,core locked,core locked,"Table 2: primary 11, PE death 3, decompensation 10, recurrent PE 1; Table 3: ISTH major bleeding 11 by 30d, ICH 0; Table 4: all-cause death 5.","Table 2: primary 28, PE death 1, decompensation 28, recurrent PE 1; Table 3: ISTH major bleeding 8 by 30d, ICH 0; Table 4: all-cause death 3.",11,8,273,271,USCDT,AC
MAPPET3_2002,ST,AC,-1.4812627190101026,1.102753737486067,1,118,5,138,0,0,MAPPET3_2002,MAPPET-3,Author-defined major bleeding,in-hospital or day 30,yes,yes,yes,yes,MAPPET3_2002,TRUE,Heparin + alteplase,Heparin + placebo,ST,AC,118,138,"submassive PE; intermediate-risk by RV dysfunction/PH/ECG strain, biomarker not required","submassive PE; intermediate-risk by RV dysfunction/PH/ECG strain, biomarker not required",NA,NA,4,3,12,34,13,34,1,5,0,0,4,4,NA,NA,core locked,core locked,"Table 2: primary 13, death 4, escalation 12, recurrent PE 4, major bleeding 1, hemorrhagic stroke 0.","Table 2: primary 34, death 3, escalation 34, recurrent PE 4, major bleeding 5, hemorrhagic stroke 0.",1,5,118,138,ST,AC
CDT_PILOT_2022,CDT,AC,NA,NA,0,12,0,11,0,0,CDT_PILOT_2022,EuroIntervention pilot CDT,No intracranial/life-threatening BARC type 5 or 3c bleeding,24/48/72h,no,no,yes,yes,CDT_PILOT_2022,TRUE,CDT alteplase 20 mg,Standard anticoagulation,CDT,AC,12,11,intermediate-high PE,intermediate-high PE,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,partial locked; primary composite exact count pending,partial locked; primary composite exact count pending,Abstract/results: no intracranial or life-threatening bleeding; one local BARC 2 access hematoma in CDT arm; exact clinical efficacy counts pending.,Abstract/results: no intracranial or life-threatening bleeding; bleeding count not major/life-threatening.,0,0,12,11,CDT,AC
FASULLO_2011,ST,AC,0.664159643686693,1.2481919697215291,2,37,1,35,0,0,FASULLO_2011,Fasullo 2011,Author-defined major bleeding,10 days and 180 days,yes,yes,yes,yes,FASULLO_2011,TRUE,Thrombolysis + heparin,Heparin/placebo,ST,AC,37,35,submassive PE with RVD; biomarker mixed/unclear,submassive PE with RVD; biomarker mixed/unclear,NA,NA,0,5,0,2,NA,NA,2,1,0,0,0,4,RV function improved earlier; detailed echo table locked in source,NA,core locked,core locked,"Tables 4/6: in-hospital death 0, recurrent PE 0, major bleeding 2; total death 0; text: no intracranial bleeding in thrombolysis.","Table 4: death 5, recurrent fatal PE 3, irreversible RVD 2, major bleeding 1; Table 6 total death 6 and recurrent fatal PE 4 through 180d.",2,1,37,35,ST,AC
SINHA_2017,ST,AC,-0.0953101798043249,1.4309882154396913,1,45,1,41,0,0,SINHA_2017,Sinha 2017,Author-defined major bleeding,7 and 30 days,yes,yes,yes,yes,SINHA_2017,TRUE,Tenecteplase + UFH,Placebo + UFH,ST,AC,45,41,submassive/intermediate-risk; RV dysfunction and/or biomarkers; all had myocardial injury,submassive/intermediate-risk; RV dysfunction and/or biomarkers; all had myocardial injury,2,2,2,2,2,8,2,8,1,1,1,0,2,1,Baseline RV/LV 1.14+/-0.11; RV function improvement 31/45,Baseline RV/LV 1.16+/-0.14; RV function improvement 16/41,core locked,core locked,"Table 3: primary 2, death 2, hemodynamic decompensation 2, recurrent PE 2, major bleeding 1, hemorrhagic stroke 1.","Table 3: primary 8, death 2, hemodynamic decompensation 8, recurrent PE 1, major bleeding 1, hemorrhagic stroke 0.",1,1,45,41,ST,AC
ZHANG_2018,ST,AC,NA,NA,0,33,0,33,0,0,ZHANG_2018,Zhang 2018,Author-defined major bleeding,90 days,yes,yes,yes,yes,ZHANG_2018,TRUE,Low-dose rt-PA + LMWH,LMWH,ST,AC,33,33,acute intermediate-risk PE; low-dose ST sensitivity,acute intermediate-risk PE,NA,NA,0,0,0,3,NA,NA,0,0,0,0,1,2,1.26+/-0.22 to 0.96+/-0.18 at 24h,1.22+/-0.19 to 1.17+/-0.21 at 24h,core locked,core locked,Safety outcomes: at 90 days no deaths and no major bleeding among 66; no hemodynamic decompensation and 1 recurrent VTE in rt-PA group.,Safety outcomes: 3 hemodynamic decompensation and 2 recurrent VTE in LMWH group; no deaths and no major bleeding among 66.,0,0,33,33,ST,AC
AHMED_2018,ST,AC,NA,NA,0,24,0,28,0,0,AHMED_2018,Ahmed 2018,Author-defined major bleeding,72h; hospital stay,no,no,yes,yes,AHMED_2018,TRUE,Streptokinase + anticoagulation,Anticoagulation,ST,AC,24,28,submassive PE causing RV dysfunction; biomarker criteria stated in discussion,submassive PE causing RV dysfunction; biomarker criteria stated in discussion,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,PASP 51.54+/-6.95 to 39.08+/-3.83 at 72h; PH endpoint 12/24,PASP 47.92+/-8.02 to 46.5+/-7.22 at 72h; PH endpoint 24/28,partial locked; mortality not reported as event count,partial locked; mortality not reported as event count,Table 3: endpoint pulmonary hypertension 12/24; no bleeding detected in both groups; death count not explicitly reported.,Table 3: endpoint pulmonary hypertension 24/28; no bleeding detected in both groups; death count not explicitly reported.,0,0,24,28,ST,AC
